Name,Institution,Best_Matched_Name,Best_Matched_Institution,Match_Score,Notes
Mikael Mieskolainen,Imperial,Mikael Mieskolainen,Imperial College London,90.32,High confidence
Mohammad Azzouzi,Imperial,Mohammad Azzouzi,Imperial College London,90.32,High confidence
Myungjoon Kim,Cornell,Myungjoon Kim,Cornell University,91.2,High confidence
Nacime Bouziani,Imperial,Nacime Bouziani,Imperial College London,90.32,High confidence
Nanta Sophonrat,Michigan,Nanta Sophonrat,University of Michigan,90.67,High confidence
Nathan Fox,Michigan,Nathan Fox,University of Michigan,90.67,High confidence
Oliver Watson,Imperial,Oliver Watson,Imperial College London,90.32,High confidence
Paige Bowling,Michigan,Paige Bowling,University of Michigan,90.67,High confidence
Paterne Gahungu,Imperial,Paterne Gahungu,Imperial College London,90.32,High confidence
Pranav Mamidanna,Imperial,Pranav Mamidanna,Imperial College London,90.32,High confidence
Ralitsa Todorova,Cornell,Ralitsa Todorova,Cornell University,91.2,High confidence
Roy Moyal,Cornell,Roy Moyal,Cornell University,91.2,High confidence
Samuel Akingbade,Michigan,Samuel Akingbade,University of Michigan,90.67,High confidence
Samuel Hillman,Imperial,Samuel Hillman,Imperial College London,90.32,High confidence
Sara Veneziale,Imperial,Sara Veneziale,Imperial College London,90.32,High confidence
Sebastian Heilpern,Cornell,Sebastian Heilpern,Cornell University,91.2,High confidence
Seth Temple,Michigan,Seth Temple,University of Michigan,90.67,High confidence
Shuangqi Li,Cornell,Shuangqi Li,Cornell University,91.2,High confidence
Soukayna Mouatadid,Toronto,Soukayna Mouatadid,University of Toronto,90.0,High confidence
Soumi Tribedi,Michigan,Soumi Tribedi,University of Michigan,90.67,High confidence
Soumita Ghosh,Toronto,Soumita Ghosh,University of Toronto,90.0,High confidence
Tianyu Wang,Cornell,Tianyu Wang,Cornell University,91.2,High confidence
Tianyuan Lu,Toronto,Tianyuan Lu,University of Toronto,90.0,High confidence
Tsige Atilaw,Michigan,Tsige Atilaw,University of Michigan,90.67,High confidence
Valence Habyarimana,Michigan,Valence Habyarimana,University of Michigan,90.67,High confidence
Verrah Otiende,Michigan,Verrah Otiende,University of Michigan,90.67,High confidence
Vikram Thapar,Cornell,Vikram Thapar,Cornell University,91.2,High confidence
Vital Fernandez,Michigan,Vital Fernandez,University of Michigan,90.67,High confidence
Wei Wei Chen,Cornell,Wei Chen,Cornell University,91.2,High confidence
Weichi Yao,Michigan,Weichi Yao,University of Michigan,90.67,High confidence
William Weaver,Michigan,William Weaver,University of Michigan,90.67,High confidence
Xiancheng Yu,Imperial,Xiancheng Yu,Imperial College London,90.32,High confidence
Xiaofeng Liu,Michigan,Xiaofeng Liu,University of Michigan,90.67,High confidence
Xin Sun,Cornell,Xin Sun,Cornell University,91.2,High confidence
Xin Wang,Cornell,Xin Wang,Cornell University,91.2,High confidence
Xin Wei,Michigan,Xin Wei,University of Michigan,90.67,High confidence
Xin Xie,Michigan,Xin Xie,University of Michigan,90.67,High confidence
Xinwei Wang,Imperial,Xinwei Wang,Imperial College London,90.32,High confidence
Xueyu Tian,Cornell,Xueyu Tian,Cornell University,91.2,High confidence
Yan Ying Tan,Michigan,Yan Tan,University of Michigan,90.67,High confidence
Yasir Latif,Cornell,Yasir Latif,Cornell University,91.2,High confidence
Yiluan Song,Michigan,Yiluan Song,University of Michigan,90.67,High confidence
Yilun Guan,Toronto,Yilun Guan,University of Toronto,90.0,High confidence
Yonas Minalu Emagnu,Michigan,Yonas Emagnu,University of Michigan,90.67,High confidence
Yu Zhou,Cornell,Yu Zhou,Cornell University,91.2,High confidence
Yue Zhou,Cornell,Yue Zhou,Cornell University,91.2,High confidence
Yueying Ni,Michigan,Yueying Ni,University of Michigan,90.67,High confidence
Yutong Wang,Michigan,Yutong Wang,University of Michigan,90.67,High confidence
Zheng Guo,Michigan,Zheng Guo,University of Michigan,90.67,High confidence
Zhenzhu Li,Imperial,Zhenzhu Li,Imperial College London,90.32,High confidence
Zherong Wu,Cornell,Zherong Wu,Cornell University,91.2,High confidence
Zhewei Liu,Toronto,Zhewei Liu,University of Toronto,90.0,High confidence
Zhichen Liu,Michigan,Zhichen Liu,University of Michigan,90.67,High confidence
Zhilong Wang,Cornell,Zhilong Wang,Cornell University,91.2,High confidence
Zhirui Liang,Michigan,Zhirui Liang,University of Michigan,90.67,High confidence
Zhongmou Chao,Cornell,Zhongmou Chao,Cornell University,91.2,High confidence
